Data Escala de Tempo 1 DM Simp 4,Data do Incio da Semana Din Instante DM Simp 4,Data Escala de Tempo 1 DM Simp 4,Din Instante,Período Exibido DM Simp 4,Subsistema,Texto Data Incio da Semana Din Instante DM,Selecione Tipo de DM Simp 4
5/18/2000 12:00:00 AM,,5/18/2000 12:00:00 AM,5/18/2000 6:07:00 PM,Dia,Nordeste,,7521
5/19/2000 12:00:00 AM,,5/19/2000 12:00:00 AM,5/19/2000 6:13:00 PM,Dia,Nordeste,,7513
5/20/2000 12:00:00 AM,,5/20/2000 12:00:00 AM,5/20/2000 6:16:00 PM,Dia,Nordeste,,7394
5/21/2000 12:00:00 AM,,5/21/2000 12:00:00 AM,5/21/2000 6:22:00 PM,Dia,Nordeste,,6945
5/22/2000 12:00:00 AM,,5/22/2000 12:00:00 AM,5/22/2000 6:10:00 PM,Dia,Nordeste,,7407
5/23/2000 12:00:00 AM,,5/23/2000 12:00:00 AM,5/23/2000 6:12:00 PM,Dia,Nordeste,,7365
5/24/2000 12:00:00 AM,,5/24/2000 12:00:00 AM,5/24/2000 6:17:00 PM,Dia,Nordeste,,7399
5/25/2000 12:00:00 AM,,5/25/2000 12:00:00 AM,5/25/2000 6:08:00 PM,Dia,Nordeste,,7457
5/26/2000 12:00:00 AM,,5/26/2000 12:00:00 AM,5/26/2000 6:12:00 PM,Dia,Nordeste,,7464
5/27/2000 12:00:00 AM,,5/27/2000 12:00:00 AM,5/27/2000 6:20:00 PM,Dia,Nordeste,,7381
5/28/2000 12:00:00 AM,,5/28/2000 12:00:00 AM,5/28/2000 6:36:00 PM,Dia,Nordeste,,6956
5/29/2000 12:00:00 AM,,5/29/2000 12:00:00 AM,5/29/2000 6:04:00 PM,Dia,Nordeste,,7569
5/30/2000 12:00:00 AM,,5/30/2000 12:00:00 AM,5/30/2000 5:57:00 PM,Dia,Nordeste,,7532
5/31/2000 12:00:00 AM,,5/31/2000 12:00:00 AM,5/31/2000 6:17:00 PM,Dia,Nordeste,,7530
6/1/2000 12:00:00 AM,,6/1/2000 12:00:00 AM,6/1/2000 5:55:00 PM,Dia,Nordeste,,7537
6/2/2000 12:00:00 AM,,6/2/2000 12:00:00 AM,6/2/2000 5:56:00 PM,Dia,Nordeste,,7486
6/3/2000 12:00:00 AM,,6/3/2000 12:00:00 AM,6/3/2000 6:10:00 PM,Dia,Nordeste,,7288
6/4/2000 12:00:00 AM,,6/4/2000 12:00:00 AM,6/4/2000 6:30:00 PM,Dia,Nordeste,,6852
6/5/2000 12:00:00 AM,,6/5/2000 12:00:00 AM,6/5/2000 5:59:00 PM,Dia,Nordeste,,7254
6/6/2000 12:00:00 AM,,6/6/2000 12:00:00 AM,6/6/2000 6:17:00 PM,Dia,Nordeste,,7345
6/7/2000 12:00:00 AM,,6/7/2000 12:00:00 AM,6/7/2000 6:21:00 PM,Dia,Nordeste,,7277
6/8/2000 12:00:00 AM,,6/8/2000 12:00:00 AM,6/8/2000 6:01:00 PM,Dia,Nordeste,,7214
6/9/2000 12:00:00 AM,,6/9/2000 12:00:00 AM,6/9/2000 6:08:00 PM,Dia,Nordeste,,7283
6/10/2000 12:00:00 AM,,6/10/2000 12:00:00 AM,6/10/2000 6:11:00 PM,Dia,Nordeste,,7121
6/11/2000 12:00:00 AM,,6/11/2000 12:00:00 AM,6/11/2000 6:17:00 PM,Dia,Nordeste,,6767
6/12/2000 12:00:00 AM,,6/12/2000 12:00:00 AM,6/12/2000 6:28:00 PM,Dia,Nordeste,,7310
6/13/2000 12:00:00 AM,,6/13/2000 12:00:00 AM,6/13/2000 6:18:00 PM,Dia,Nordeste,,7311
6/14/2000 12:00:00 AM,,6/14/2000 12:00:00 AM,6/14/2000 6:15:00 PM,Dia,Nordeste,,7309
6/15/2000 12:00:00 AM,,6/15/2000 12:00:00 AM,6/15/2000 6:03:00 PM,Dia,Nordeste,,7222
6/16/2000 12:00:00 AM,,6/16/2000 12:00:00 AM,6/16/2000 6:21:00 PM,Dia,Nordeste,,7301
6/17/2000 12:00:00 AM,,6/17/2000 12:00:00 AM,6/17/2000 6:29:00 PM,Dia,Nordeste,,7161
6/18/2000 12:00:00 AM,,6/18/2000 12:00:00 AM,6/18/2000 6:47:00 PM,Dia,Nordeste,,6932
6/19/2000 12:00:00 AM,,6/19/2000 12:00:00 AM,6/19/2000 6:07:00 PM,Dia,Nordeste,,7436
6/20/2000 12:00:00 AM,,6/20/2000 12:00:00 AM,6/20/2000 6:26:00 PM,Dia,Nordeste,,7400
6/21/2000 12:00:00 AM,,6/21/2000 12:00:00 AM,6/21/2000 6:14:00 PM,Dia,Nordeste,,7333
6/22/2000 12:00:00 AM,,6/22/2000 12:00:00 AM,6/22/2000 6:21:00 PM,Dia,Nordeste,,6809
6/23/2000 12:00:00 AM,,6/23/2000 12:00:00 AM,6/23/2000 6:23:00 PM,Dia,Nordeste,,6874
6/24/2000 12:00:00 AM,,6/24/2000 12:00:00 AM,6/24/2000 6:26:00 PM,Dia,Nordeste,,6768
6/25/2000 12:00:00 AM,,6/25/2000 12:00:00 AM,6/25/2000 6:15:00 PM,Dia,Nordeste,,6790
6/26/2000 12:00:00 AM,,6/26/2000 12:00:00 AM,6/26/2000 6:26:00 PM,Dia,Nordeste,,7165
6/27/2000 12:00:00 AM,,6/27/2000 12:00:00 AM,6/27/2000 6:18:00 PM,Dia,Nordeste,,7142
6/28/2000 12:00:00 AM,,6/28/2000 12:00:00 AM,6/28/2000 6:15:00 PM,Dia,Nordeste,,7316
6/29/2000 12:00:00 AM,,6/29/2000 12:00:00 AM,6/29/2000 6:16:00 PM,Dia,Nordeste,,7131
6/30/2000 12:00:00 AM,,6/30/2000 12:00:00 AM,6/30/2000 6:21:00 PM,Dia,Nordeste,,7034
7/1/2000 12:00:00 AM,,7/1/2000 12:00:00 AM,7/1/2000 6:34:00 PM,Dia,Nordeste,,7192
7/2/2000 12:00:00 AM,,7/2/2000 12:00:00 AM,7/2/2000 6:20:00 PM,Dia,Nordeste,,6742
7/3/2000 12:00:00 AM,,7/3/2000 12:00:00 AM,7/3/2000 6:07:00 PM,Dia,Nordeste,,7063
7/4/2000 12:00:00 AM,,7/4/2000 12:00:00 AM,7/4/2000 6:24:00 PM,Dia,Nordeste,,7107
7/5/2000 12:00:00 AM,,7/5/2000 12:00:00 AM,7/5/2000 6:17:00 PM,Dia,Nordeste,,7147
7/6/2000 12:00:00 AM,,7/6/2000 12:00:00 AM,7/6/2000 6:13:00 PM,Dia,Nordeste,,7162
7/7/2000 12:00:00 AM,,7/7/2000 12:00:00 AM,7/7/2000 6:28:00 PM,Dia,Nordeste,,7106
7/8/2000 12:00:00 AM,,7/8/2000 12:00:00 AM,7/8/2000 6:34:00 PM,Dia,Nordeste,,7054
7/9/2000 12:00:00 AM,,7/9/2000 12:00:00 AM,7/9/2000 6:37:00 PM,Dia,Nordeste,,6777
7/10/2000 12:00:00 AM,,7/10/2000 12:00:00 AM,7/10/2000 6:22:00 PM,Dia,Nordeste,,7068
7/11/2000 12:00:00 AM,,7/11/2000 12:00:00 AM,7/11/2000 6:23:00 PM,Dia,Nordeste,,7210
7/12/2000 12:00:00 AM,,7/12/2000 12:00:00 AM,7/12/2000 6:21:00 PM,Dia,Nordeste,,7044
7/13/2000 12:00:00 AM,,7/13/2000 12:00:00 AM,7/13/2000 6:27:00 PM,Dia,Nordeste,,7284
7/14/2000 12:00:00 AM,,7/14/2000 12:00:00 AM,7/14/2000 6:30:00 PM,Dia,Nordeste,,7150
7/15/2000 12:00:00 AM,,7/15/2000 12:00:00 AM,7/15/2000 6:24:00 PM,Dia,Nordeste,,7216
7/16/2000 12:00:00 AM,,7/16/2000 12:00:00 AM,7/16/2000 6:59:00 PM,Dia,Nordeste,,6769
7/17/2000 12:00:00 AM,,7/17/2000 12:00:00 AM,7/17/2000 6:25:00 PM,Dia,Nordeste,,7339
7/18/2000 12:00:00 AM,,7/18/2000 12:00:00 AM,7/18/2000 6:24:00 PM,Dia,Nordeste,,7346
7/19/2000 12:00:00 AM,,7/19/2000 12:00:00 AM,7/19/2000 6:21:00 PM,Dia,Nordeste,,7294
7/20/2000 12:00:00 AM,,7/20/2000 12:00:00 AM,7/20/2000 6:29:00 PM,Dia,Nordeste,,7328
