index,value
2018-06-20,290
2018-06-21,291
2018-06-22,291
2018-06-23,290
2018-06-24,296
2018-06-25,287
2018-06-26,296
2018-06-27,284
2018-06-28,292
2018-06-29,281
2018-06-30,287
2018-07-01,272
2018-07-02,275
2018-07-03,269
2018-07-04,275
2018-07-05,268
2018-07-06,275
2018-07-07,262
2018-07-08,272
2018-07-09,265
2018-07-10,270
2018-07-11,265
2018-07-12,262
2018-07-13,261
2018-07-14,246
2018-07-15,247
2018-07-16,252
2018-07-17,262
2018-07-18,261
2018-07-19,261
2018-07-20,260
2018-07-21,259
2018-07-22,258
2018-07-23,259
2018-07-24,263
2018-07-25,256
2018-07-26,258
2018-07-27,257
2018-07-28,254
2018-07-29,254
2018-07-30,244
2018-07-31,252
2018-08-01,247
2018-08-02,242
2018-08-03,244
2018-08-04,238
2018-08-05,243
2018-08-06,238
2018-08-07,244
2018-08-08,242
2018-08-09,245
2018-08-10,230
2018-08-11,234
2018-08-12,221
2018-08-13,228
2018-08-14,228
2018-08-15,227
2018-08-16,231
2018-08-17,226
2018-08-18,226
2018-08-19,225
2018-08-20,223
2018-08-21,223
2018-08-22,216
2018-08-23,226
2018-08-24,221
2018-08-25,216
2018-08-26,212
2018-08-27,213
2018-08-28,212
2018-08-29,194
2018-08-30,197
2018-08-31,192
2018-09-01,192
2018-09-02,190
2018-09-03,189
2018-09-04,202
2018-09-05,190
2018-09-06,198
2018-09-07,192
2018-09-08,205
2018-09-09,194
2018-09-10,197
2018-09-11,182
2018-09-12,193
2018-09-13,182
2018-09-14,197
2018-09-15,184
2018-09-16,192
2018-09-17,180
2018-09-18,191
2018-09-19,184
2018-09-20,207
2018-09-21,230
2018-09-22,253
2018-09-23,265
2018-09-24,265
2018-09-25,276
2018-09-26,287
2018-09-27,299
2018-09-28,314
2018-09-29,313
2018-09-30,313
2018-10-01,311
2018-10-02,310
2018-10-03,315
2018-10-04,321
2018-10-05,346
2018-10-06,369
2018-10-07,397
2018-10-08,409
2018-10-09,400
2018-10-10,371
2018-10-11,328
2018-10-12,301
2018-10-13,293
2018-10-14,299
2018-10-15,317
2018-10-16,328
2018-10-17,344
2018-10-18,356
2018-10-19,368
2018-10-20,385
2018-10-21,384
2018-10-22,377
2018-10-23,349
2018-10-24,338
2018-10-25,337
2018-10-26,353
2018-10-27,365
2018-10-28,375
2018-10-29,375
2018-10-30,358
2018-10-31,333
2018-11-01,325
2018-11-02,336
2018-11-03,353
2018-11-04,365
2018-11-05,379
2018-11-06,401
2018-11-07,426
2018-11-08,445
2018-11-09,456
2018-11-10,453
2018-11-11,451
2018-11-12,449
2018-11-13,453
2018-11-14,450
2018-11-15,446
2018-11-16,445
2018-11-17,451
2018-11-18,453
2018-11-19,449
2018-11-20,446
2018-11-21,436
2018-11-22,428
2018-11-23,413
2018-11-24,391
2018-11-25,370
2018-11-26,335
2018-11-27,310
2018-11-28,309
2018-11-29,345
2018-11-30,411
2018-12-01,469
2018-12-02,521
2018-12-03,536
2018-12-04,516
2018-12-05,480
2018-12-06,447
2018-12-07,425
2018-12-08,405
2018-12-09,402
2018-12-10,398
2018-12-11,397
2018-12-12,386
2018-12-13,380
2018-12-14,373
2018-12-15,370
2018-12-16,369
2018-12-17,371
2018-12-18,382
2018-12-19,392
2018-12-20,411
2018-12-21,419
2018-12-22,298
2018-12-23,296
2018-12-24,299
2018-12-25,283
2018-12-26,269
2018-12-27,269
2018-12-28,281
2018-12-29,294
2018-12-30,304
2018-12-31,318
2019-01-01,350
2019-01-02,385
2019-01-03,419
2019-01-04,445
2019-01-05,460
2019-01-06,473
2019-01-07,472
2019-01-08,469
2019-01-09,467
2019-01-10,459
2019-01-11,454
2019-01-12,440
2019-01-13,432
2019-01-14,412
2019-01-15,396
2019-01-16,388
2019-01-17,409
2019-01-18,435
2019-01-19,454
2019-01-20,451
2019-01-21,450
2019-01-22,457
2019-01-23,480
2019-01-24,521
2019-01-25,571
2019-01-26,621
2019-01-27,659
2019-01-28,702
2019-01-29,740
2019-01-30,771
2019-01-31,788
2019-02-01,813
2019-02-02,786
2019-02-03,732
2019-02-04,670
2019-02-05,613
2019-02-06,566
2019-02-07,549
2019-02-08,546
2019-02-09,572
2019-02-10,599
2019-02-11,624
2019-02-12,645
2019-02-13,668
2019-02-14,682
2019-02-15,688
2019-02-16,687
2019-02-17,686
2019-02-18,680
2019-02-19,673
2019-02-20,673
2019-02-21,663
2019-02-22,651
2019-02-23,628
2019-02-24,601
2019-02-25,561
2019-02-26,531
2019-02-27,503
2019-02-28,488
2019-03-01,456
2019-03-02,432
2019-03-03,401
2019-03-04,395
2019-03-05,410
2019-03-06,449
2019-03-07,486
2019-03-08,517
2019-03-09,529
2019-03-10,546
2019-03-11,547
2019-03-12,534
2019-03-13,510
2019-03-14,496
2019-03-15,491
2019-03-16,489
2019-03-17,502
2019-03-18,524
2019-03-19,541
2019-03-20,540
2019-03-21,531
2019-03-22,533
